ISO3 codes,Countries/Regions,2000,2005,2010,2015,2017,,,
AFG,Afghanistan,1450,1140,954,701,638,,,
ALB,Albania,23,22,21,15,15,,,
DZA,Algeria,161,127,115,114,112,,,
AGO,Angola,827,519,326,251,241,,,
ATG,Antigua and Barbuda,44,40,44,43,42,,,
ARG,Argentina,66,59,51,41,39,,,
ARM,Armenia,43,35,32,28,26,,,
AUS,Australia,7,5,5,6,6,,,
AUT,Austria,6,6,5,5,5,,,
AZE,Azerbaijan,47,42,31,27,26,,,
BHS,Bahamas,75,77,78,74,70,,,
BHR,Bahrain,27,19,18,15,14,,,
BGD,Bangladesh,434,343,258,200,173,,,
BRB,Barbados,50,42,36,31,27,,,
BLR,Belarus,22,11,5,3,2,,,
BEL,Belgium,8,7,6,5,5,,,
BLZ,Belize,89,70,54,43,36,,,
BEN,Benin,520,500,464,421,397,,,
BTN,Bhutan,423,310,247,203,183,,,
BOL,Bolivia (Plurinational State of),331,271,212,168,155,,,
BIH,Bosnia and Herzegovina,17,13,11,10,10,,,
BWA,Botswana,262,239,179,156,144,,,
BRA,Brazil,69,71,65,63,60,,,
BRN,Brunei Darussalam,28,29,28,30,31,,,
BGR,Bulgaria,19,15,12,10,10,,,
BFA,Burkina Faso,516,437,385,343,320,,,
BDI,Burundi,1010,814,665,568,548,,,
CPV,Cabo Verde,118,86,70,61,58,,,
KHM,Cambodia,488,351,248,178,160,,,
CMR,Cameroon,886,692,597,554,529,,,
CAN,Canada,9,11,11,11,10,,,
CAF,Central African Republic,1280,1200,1000,912,829,,,
TCD,Chad,1420,1330,1240,1160,1140,,,
CHL,Chile,31,25,20,14,13,,,
CHN,China,59,44,36,30,29,,,
COL,Colombia,94,83,85,85,83,,,
COM,Comoros,444,404,341,285,273,,,
COG,Congo,739,677,506,416,378,,,
CRI,Costa Rica,40,33,32,28,27,,,
CIV,Côte d'Ivoire,704,704,701,658,617,,,
HRV,Croatia,11,10,9,8,8,,,
CUB,Cuba,46,41,41,38,36,,,
CYP,Cyprus,14,12,8,7,6,,,
CZE,Czechia,7,5,4,4,3,,,
PRK,Democratic People's Republic of Korea,139,120,106,91,89,,,
