COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
ALB,,ALL,2007,6.2
ALB,,ALL,2009,6.52
ALB,,ALL,2013,6.59
AND,,ALL,1999,15.17
AND,,ALL,2000,13.66
AND,,ALL,2001,15.13
AND,,ALL,2002,17.98
AND,,ALL,2003,22.94
AND,,ALL,2004,22.79
AND,,ALL,2005,21.88
AND,,ALL,2006,20.03
AND,,ALL,2007,19.47
AND,,ALL,2009,16.61
ARM,,ALL,2000,21.29
ARM,,ALL,2001,20.43
ARM,,ALL,2002,20.36
ARM,,ALL,2003,20.4
ARM,,ALL,2004,20.01
ARM,,ALL,2005,20.61
ARM,,ALL,2006,21.02
ARM,,ALL,2007,21.54
ARM,,ALL,2008,21.95
ARM,,ALL,2009,22.47
ARM,,ALL,2010,23.22
ARM,,ALL,2011,23.56
ARM,,ALL,2012,26.45
ARM,,ALL,2013,26.31
AUT,,ALL,1980,8.35
AUT,,ALL,1981,8.43
AUT,,ALL,1982,8.81
AUT,,ALL,1983,9.03
AUT,,ALL,1984,9.14
AUT,,ALL,1985,9.25
AUT,,ALL,1986,9.39
AUT,,ALL,1987,9.8
AUT,,ALL,1988,10.15
AUT,,ALL,1989,10.39
AUT,,ALL,1990,10.71
AUT,,ALL,1991,10.83
AUT,,ALL,1992,11.17
AUT,,ALL,1993,11.46
AUT,,ALL,1994,12.15
AUT,,ALL,1995,12.74
AUT,,ALL,1996,13.32
AUT,,ALL,1997,13.97
AUT,,ALL,1998,14.67
AUT,,ALL,1999,14.74
AUT,,ALL,2000,15.4
AUT,,ALL,2001,15.92
AUT,,ALL,2002,16.12
AUT,,ALL,2003,16.72
AUT,,ALL,2004,17.25
AUT,,ALL,2005,17.86
AUT,,ALL,2006,18.21
AUT,,ALL,2007,18.82
AUT,,ALL,2008,18.97
AUT,,ALL,2009,19.11
AUT,,ALL,2010,19.48
AUT,,ALL,2011,19.61
AUT,,ALL,2012,19.87
AUT,,ALL,2013,20.86
AZE,,ALL,1990,20.34
AZE,,ALL,1991,21.17
AZE,,ALL,1992,20.92
AZE,,ALL,1993,21.3
AZE,,ALL,1994,21.86
AZE,,ALL,1995,22.29
AZE,,ALL,1996,22.78
AZE,,ALL,1997,23.05
AZE,,ALL,1998,22.24
AZE,,ALL,1999,22.49
AZE,,ALL,2000,22.48
AZE,,ALL,2001,22.8
AZE,,ALL,2002,23.14
AZE,,ALL,2003,23.34
AZE,,ALL,2004,23.26
AZE,,ALL,2005,23.12
AZE,,ALL,2006,22.67
AZE,,ALL,2007,24.16
AZE,,ALL,2008,23.58
AZE,,ALL,2009,23.62
AZE,,ALL,2010,23.72
AZE,,ALL,2011,21.86
AZE,,ALL,2012,21.32
AZE,,ALL,2013,21.12
BEL,,ALL,2000,11.06
BEL,,ALL,2001,11.28
BEL,,ALL,2002,11.47
BEL,,ALL,2003,11.4
BEL,,ALL,2004,11.54
BEL,,ALL,2005,11.56
BEL,,ALL,2006,11.69
BEL,,ALL,2007,11.91
BEL,,ALL,2008,12.3
BEL,,ALL,2009,12.33
BEL,,ALL,2010,12.42
BEL,,ALL,2011,12.29
BEL,,ALL,2012,12.32
BEL,,ALL,2013,12.32
BIH,,ALL,2003,9.08
BIH,,ALL,2004,9.03
BIH,,ALL,2005,9.09
BIH,,ALL,2006,9.15
BIH,,ALL,2007,9.42
BIH,,ALL,2008,9.01
BIH,,ALL,2009,8.81
BIH,,ALL,2010,8.98
BIH,,ALL,2011,8.93
BIH,,ALL,2012,8.94
BIH,,ALL,2013,8.94
BLR,,ALL,1980,20.11
BLR,,ALL,1981,20.42
BLR,,ALL,1982,20.45
BLR,,ALL,1983,20.25
BLR,,ALL,1984,20.14
BLR,,ALL,1985,20.33
BLR,,ALL,1986,20.46
BLR,,ALL,1987,20.71
BLR,,ALL,1988,21.42
BLR,,ALL,1989,21.79
BLR,,ALL,1990,22.18
BLR,,ALL,1991,21.46
BLR,,ALL,1992,21.66
BLR,,ALL,1993,22.34
BLR,,ALL,1994,23.01
BLR,,ALL,1995,23.65
BLR,,ALL,1996,24.34
BLR,,ALL,1997,24.8
BLR,,ALL,1998,25.65
BLR,,ALL,1999,26.5
BLR,,ALL,2000,26.44
BLR,,ALL,2001,26.96
BLR,,ALL,2002,27
BLR,,ALL,2003,27.35
BLR,,ALL,2004,27.1
BLR,,ALL,2005,26.58
BLR,,ALL,2006,25.91
BLR,,ALL,2007,26.04
BLR,,ALL,2008,26.9
BLR,,ALL,2009,27.08
BLR,,ALL,2010,26.37
BLR,,ALL,2011,26.65
BLR,,ALL,2012,27.08
BLR,,ALL,2013,27.36
BGR,,ALL,2002,17.3
BGR,,ALL,2003,17.36
BGR,,ALL,2004,16.89
BGR,,ALL,2005,17.17
BGR,,ALL,2006,17.5
BGR,,ALL,2007,17.7
BGR,,ALL,2008,18.13
BGR,,ALL,2009,18.29
BGR,,ALL,2010,18.41
BGR,,ALL,2011,18.69
BGR,,ALL,2012,19.09
BGR,,ALL,2013,19.38
,CARINFONET,ALL,1992,23.94
,CARINFONET,ALL,1993,24.04
,CARINFONET,ALL,1994,23.8
,CARINFONET,ALL,1995,23.46
,CARINFONET,ALL,1996,23.64
,CARINFONET,ALL,1997,23.69
,CARINFONET,ALL,1998,23.72
,CARINFONET,ALL,1999,24.12
,CARINFONET,ALL,2000,23.76
,CARINFONET,ALL,2001,22.98
,CARINFONET,ALL,2002,22.82
,CARINFONET,ALL,2003,22.72
,CARINFONET,ALL,2004,22.83
,CARINFONET,ALL,2005,22.13
,CARINFONET,ALL,2006,22.23
,CARINFONET,ALL,2007,21.86
,CARINFONET,ALL,2008,21.86
,CARINFONET,ALL,2009,21.5
,CARINFONET,ALL,2010,21.4
,CARINFONET,ALL,2011,21.1
,CARINFONET,ALL,2012,20.89
,CARINFONET,ALL,2013,20.51
,CIS,ALL,1992,22.75
,CIS,ALL,1993,22.97
,CIS,ALL,1994,23.03
,CIS,ALL,1995,23.2
,CIS,ALL,1996,23.46
,CIS,ALL,1997,23.62
,CIS,ALL,1998,23.9
,CIS,ALL,1999,24.13
,CIS,ALL,2000,24.15
,CIS,ALL,2001,23.99
,CIS,ALL,2002,24.2
,CIS,ALL,2003,24.24
,CIS,ALL,2004,24.22
,CIS,ALL,2005,24.13
,CIS,ALL,2006,24.37
,CIS,ALL,2007,24.29
,CIS,ALL,2008,24.26
,CIS,ALL,2009,24.67
,CIS,ALL,2010,24.55
,CIS,ALL,2011,24.58
,CIS,ALL,2012,24.47
,CIS,ALL,2013,24.47
HRV,,ALL,2000,6.35
HRV,,ALL,2001,6.31
HRV,,ALL,2002,6.41
HRV,,ALL,2003,6.73
HRV,,ALL,2004,7.07
HRV,,ALL,2005,7.32
HRV,,ALL,2006,7.27
HRV,,ALL,2007,7.55
HRV,,ALL,2008,7.62
HRV,,ALL,2009,16.32
HRV,,ALL,2010,16.52
HRV,,ALL,2011,16.83
HRV,,ALL,2012,17.62
HRV,,ALL,2013,17.88
CYP,,ALL,1985,14.42
CYP,,ALL,1986,14.25
CYP,,ALL,1987,16.62
CYP,,ALL,1988,17.7
CYP,,ALL,1989,19.03
CYP,,ALL,1990,18.81
CYP,,ALL,1991,17.31
CYP,,ALL,1992,17.2
CYP,,ALL,1993,17.74
CYP,,ALL,1995,17.52
CYP,,ALL,2000,19.17
CZE,,ALL,1995,21.1
CZE,,ALL,2000,22.38
CZE,,ALL,2005,24.09
CZE,,ALL,2008,24.23
CZE,,ALL,2009,24.32
CZE,,ALL,2010,24.89
CZE,,ALL,2011,25.19
CZE,,ALL,2012,25.43
CZE,,ALL,2013,25.33
DNK,,ALL,1980,3.47
DNK,,ALL,1981,3.85
DNK,,ALL,1982,4.16
DNK,,ALL,1983,4.46
DNK,,ALL,1984,4.91
DNK,,ALL,1985,5.28
DNK,,ALL,1986,5.31
DNK,,ALL,1987,5.48
DNK,,ALL,1988,5.95
DNK,,ALL,1989,6.02
DNK,,ALL,1990,6.21
DNK,,ALL,1991,6.17
DNK,,ALL,1992,6.46
DNK,,ALL,1993,6.44
DNK,,ALL,1994,6.97
