COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
ALB,,ALL,1978,
AND,,ALL,1978,
ARM,,ALL,1978,
AUT,,ALL,1978,
AZE,,ALL,1978,
BLR,,ALL,1978,
BEL,,ALL,1978,
BIH,,ALL,1978,
BGR,,ALL,1978,
HRV,,ALL,1978,
CYP,,ALL,1978,
CZE,,ALL,1978,
DNK,,ALL,1978,
EST,,ALL,1978,
FIN,,ALL,1978,
FRA,,ALL,1978,
GEO,,ALL,1978,
DEU,,ALL,1978,
GRC,,ALL,1978,
HUN,,ALL,1978,
ISL,,ALL,1978,
IRL,,ALL,1978,
ISR,,ALL,1978,
ITA,,ALL,1978,
KAZ,,ALL,1978,
KGZ,,ALL,1978,
LVA,,ALL,1978,
LTU,,ALL,1978,
LUX,,ALL,1978,
MLT,,ALL,1978,
MCO,,ALL,1978,
MNE,,ALL,1978,
NLD,,ALL,1978,
NOR,,ALL,1978,
POL,,ALL,1978,
PRT,,ALL,1978,
MDA,,ALL,1978,
ROU,,ALL,1978,
RUS,,ALL,1978,
SMR,,ALL,1978,
SRB,,ALL,1978,
SVK,,ALL,1978,
SVN,,ALL,1978,
ESP,,ALL,1978,
SWE,,ALL,1978,
CHE,,ALL,1978,
TJK,,ALL,1978,
MKD,,ALL,1978,
TUR,,ALL,1978,
TKM,,ALL,1978,
UKR,,ALL,1978,
GBR,,ALL,1978,
UZB,,ALL,1978,
,WHO_EURO,ALL,1978,
,EU_BEFORE_MAY2004,ALL,1978,
,EU_AFTER_MAY2004,ALL,1978,
,CIS,ALL,1978,
,CARINFONET,ALL,1978,
,SEEHN,ALL,1978,
,NORDIC,ALL,1978,
,SMALL,ALL,1978,
ALB,,ALL,1979,
AND,,ALL,1979,
ARM,,ALL,1979,
AUT,,ALL,1979,
AZE,,ALL,1979,
BLR,,ALL,1979,
BEL,,ALL,1979,
BIH,,ALL,1979,
BGR,,ALL,1979,
HRV,,ALL,1979,
CYP,,ALL,1979,
CZE,,ALL,1979,
DNK,,ALL,1979,
EST,,ALL,1979,
FIN,,ALL,1979,
FRA,,ALL,1979,
GEO,,ALL,1979,
DEU,,ALL,1979,
GRC,,ALL,1979,
HUN,,ALL,1979,
ISL,,ALL,1979,
IRL,,ALL,1979,
ISR,,ALL,1979,
ITA,,ALL,1979,
KAZ,,ALL,1979,
KGZ,,ALL,1979,
LVA,,ALL,1979,
LTU,,ALL,1979,
LUX,,ALL,1979,
MLT,,ALL,1979,
MCO,,ALL,1979,
MNE,,ALL,1979,
NLD,,ALL,1979,
NOR,,ALL,1979,
POL,,ALL,1979,
PRT,,ALL,1979,
MDA,,ALL,1979,
ROU,,ALL,1979,
RUS,,ALL,1979,
SMR,,ALL,1979,
SRB,,ALL,1979,
SVK,,ALL,1979,
SVN,,ALL,1979,
ESP,,ALL,1979,
SWE,,ALL,1979,
CHE,,ALL,1979,
TJK,,ALL,1979,
MKD,,ALL,1979,
TUR,,ALL,1979,
TKM,,ALL,1979,
UKR,,ALL,1979,
GBR,,ALL,1979,
UZB,,ALL,1979,
,WHO_EURO,ALL,1979,
,EU_BEFORE_MAY2004,ALL,1979,
,EU_AFTER_MAY2004,ALL,1979,
,CIS,ALL,1979,
,CARINFONET,ALL,1979,
,SEEHN,ALL,1979,
,NORDIC,ALL,1979,
,SMALL,ALL,1979,
ALB,,ALL,1980,
AND,,ALL,1980,
ARM,,ALL,1980,
AUT,,ALL,1980,7
AZE,,ALL,1980,
BLR,,ALL,1980,40
BEL,,ALL,1980,
BIH,,ALL,1980,
BGR,,ALL,1980,
HRV,,ALL,1980,
CYP,,ALL,1980,
CZE,,ALL,1980,
DNK,,ALL,1980,2
EST,,ALL,1980,
FIN,,ALL,1980,
FRA,,ALL,1980,
GEO,,ALL,1980,
DEU,,ALL,1980,
GRC,,ALL,1980,17
HUN,,ALL,1980,
ISL,,ALL,1980,
IRL,,ALL,1980,
ISR,,ALL,1980,
ITA,,ALL,1980,
KAZ,,ALL,1980,
KGZ,,ALL,1980,39
LVA,,ALL,1980,
LTU,,ALL,1980,
LUX,,ALL,1980,
MLT,,ALL,1980,
MCO,,ALL,1980,
MNE,,ALL,1980,
NLD,,ALL,1980,
NOR,,ALL,1980,
POL,,ALL,1980,
PRT,,ALL,1980,6
MDA,,ALL,1980,
ROU,,ALL,1980,
RUS,,ALL,1980,
SMR,,ALL,1980,
SRB,,ALL,1980,
SVK,,ALL,1980,
SVN,,ALL,1980,
ESP,,ALL,1980,
SWE,,ALL,1980,
CHE,,ALL,1980,
TJK,,ALL,1980,
MKD,,ALL,1980,
TUR,,ALL,1980,
TKM,,ALL,1980,
UKR,,ALL,1980,
GBR,,ALL,1980,
UZB,,ALL,1980,
,WHO_EURO,ALL,1980,
,EU_BEFORE_MAY2004,ALL,1980,
,EU_AFTER_MAY2004,ALL,1980,
,CIS,ALL,1980,
,CARINFONET,ALL,1980,
,SEEHN,ALL,1980,
,NORDIC,ALL,1980,
,SMALL,ALL,1980,
ALB,,ALL,1981,
AND,,ALL,1981,
ARM,,ALL,1981,
AUT,,ALL,1981,7
AZE,,ALL,1981,
BLR,,ALL,1981,41
BEL,,ALL,1981,
BIH,,ALL,1981,
BGR,,ALL,1981,
HRV,,ALL,1981,
CYP,,ALL,1981,
CZE,,ALL,1981,
DNK,,ALL,1981,2
EST,,ALL,1981,
FIN,,ALL,1981,
FRA,,ALL,1981,
GEO,,ALL,1981,
DEU,,ALL,1981,
GRC,,ALL,1981,17
HUN,,ALL,1981,
ISL,,ALL,1981,
IRL,,ALL,1981,
ISR,,ALL,1981,
ITA,,ALL,1981,
KAZ,,ALL,1981,
KGZ,,ALL,1981,
LVA,,ALL,1981,
LTU,,ALL,1981,
LUX,,ALL,1981,
MLT,,ALL,1981,
MCO,,ALL,1981,
MNE,,ALL,1981,12
NLD,,ALL,1981,
NOR,,ALL,1981,
POL,,ALL,1981,
PRT,,ALL,1981,6
MDA,,ALL,1981,
ROU,,ALL,1981,
RUS,,ALL,1981,
SMR,,ALL,1981,
SRB,,ALL,1981,
SVK,,ALL,1981,
SVN,,ALL,1981,
ESP,,ALL,1981,
SWE,,ALL,1981,
CHE,,ALL,1981,
TJK,,ALL,1981,
MKD,,ALL,1981,
TUR,,ALL,1981,
TKM,,ALL,1981,
UKR,,ALL,1981,
GBR,,ALL,1981,
UZB,,ALL,1981,
,WHO_EURO,ALL,1981,
,EU_BEFORE_MAY2004,ALL,1981,
,EU_AFTER_MAY2004,ALL,1981,
,CIS,ALL,1981,
,CARINFONET,ALL,1981,
,SEEHN,ALL,1981,
,NORDIC,ALL,1981,
,SMALL,ALL,1981,
ALB,,ALL,1982,
AND,,ALL,1982,
ARM,,ALL,1982,
AUT,,ALL,1982,7
AZE,,ALL,1982,
BLR,,ALL,1982,42
BEL,,ALL,1982,
BIH,,ALL,1982,
BGR,,ALL,1982,
HRV,,ALL,1982,
CYP,,ALL,1982,
CZE,,ALL,1982,
DNK,,ALL,1982,3
EST,,ALL,1982,
FIN,,ALL,1982,
FRA,,ALL,1982,
GEO,,ALL,1982,
DEU,,ALL,1982,
GRC,,ALL,1982,19
HUN,,ALL,1982,
ISL,,ALL,1982,
IRL,,ALL,1982,
ISR,,ALL,1982,
ITA,,ALL,1982,
KAZ,,ALL,1982,
KGZ,,ALL,1982,43
LVA,,ALL,1982,
LTU,,ALL,1982,
LUX,,ALL,1982,
MLT,,ALL,1982,
MCO,,ALL,1982,
MNE,,ALL,1982,
NLD,,ALL,1982,
NOR,,ALL,1982,
POL,,ALL,1982,
PRT,,ALL,1982,6
MDA,,ALL,1982,
ROU,,ALL,1982,
RUS,,ALL,1982,
SMR,,ALL,1982,
SRB,,ALL,1982,
SVK,,ALL,1982,
SVN,,ALL,1982,
ESP,,ALL,1982,
SWE,,ALL,1982,
CHE,,ALL,1982,
TJK,,ALL,1982,
MKD,,ALL,1982,
TUR,,ALL,1982,
TKM,,ALL,1982,
UKR,,ALL,1982,
GBR,,ALL,1982,
UZB,,ALL,1982,
,WHO_EURO,ALL,1982,
,EU_BEFORE_MAY2004,ALL,1982,
,EU_AFTER_MAY2004,ALL,1982,
,CIS,ALL,1982,
,CARINFONET,ALL,1982,
,SEEHN,ALL,1982,
,NORDIC,ALL,1982,
,SMALL,ALL,1982,
ALB,,ALL,1983,
AND,,ALL,1983,
ARM,,ALL,1983,
AUT,,ALL,1983,7
AZE,,ALL,1983,
BLR,,ALL,1983,43
BEL,,ALL,1983,
BIH,,ALL,1983,
BGR,,ALL,1983,
HRV,,ALL,1983,
CYP,,ALL,1983,
CZE,,ALL,1983,
DNK,,ALL,1983,3
EST,,ALL,1983,
FIN,,ALL,1983,
FRA,,ALL,1983,
GEO,,ALL,1983,
DEU,,ALL,1983,
GRC,,ALL,1983,19
HUN,,ALL,1983,
ISL,,ALL,1983,
IRL,,ALL,1983,
ISR,,ALL,1983,
ITA,,ALL,1983,
KAZ,,ALL,1983,
KGZ,,ALL,1983,45
LVA,,ALL,1983,
LTU,,ALL,1983,
LUX,,ALL,1983,
MLT,,ALL,1983,
MCO,,ALL,1983,
MNE,,ALL,1983,
NLD,,ALL,1983,
NOR,,ALL,1983,
POL,,ALL,1983,
